id,session_id,case_id,trial_type,condition,category,initial_findings,initial_confidence,revised_findings,revised_confidence,ai_helpful,xai_helpful,xai_faithful,xai_view_selected,changed_mind,response_time_pre_ms,response_time_post_ms,bias_banner_dismissed,time_on_banner_ms,created_at,xai_overlay_finding,ground_truth,ai_preds
a2869a4d-53f0-44fe-904d-7bc2e85db451,27931682-1071-4a19-a46c-50b4a188d17f,fx-03,main,E,hard,"[""cardiomegaly"",""edema"",""pleural_effusion""]",53,"[""cardiomegaly"",""edema"",""pleural_effusion""]",52,52,neutral,yes,original,false,46874,17017,,,2026-04-24 10:27:31.760533+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.89,""atelectasis"":0.8,""cardiomegaly"":0.72,""pneumothorax"":0.03,""consolidation"":0.78,""pleural_effusion"":0.81}"
a377fbb6-b9b7-4702-b40c-71c18a14e7ab,268d4f1b-c349-48e9-a561-7245ba9612e9,baseline-03,baseline,A,baseline,"[""pleural_effusion"",""atelectasis"",""edema""]",43,,,,,,,,78829,,,,2026-04-22 14:19:02.17979+00,,"[""pleural_effusion""]",{}
a974c635-240c-4b2a-9097-b70a426e55ba,c441fd3a-2158-44e7-a31d-68ab29632857,fx-12,main,C,incidental,"[""cardiomegaly"",""pneumothorax"",""edema""]",85,"[""cardiomegaly"",""pneumothorax"",""edema""]",86,78,misleading,no,original,false,72503,170022,,,2026-04-23 16:17:12.061492+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.7,""atelectasis"":0.54,""cardiomegaly"":0.33,""pneumothorax"":0.59,""consolidation"":0.55,""pleural_effusion"":0.73}"
b77928c9-d2df-466c-b2cf-59bfd4798251,c441fd3a-2158-44e7-a31d-68ab29632857,fx-03,main,E,hard,"[""edema""]",86,"[""edema""]",86,75,neutral,yes,gradcam,false,77276,56205,,,2026-04-23 15:51:13.971662+00,edema,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.89,""atelectasis"":0.8,""cardiomegaly"":0.72,""pneumothorax"":0.03,""consolidation"":0.78,""pleural_effusion"":0.81}"
b7eee6c2-a1d6-4461-a255-124598f96ca3,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-06,main,B,incidental,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pneumothorax"",""edema""]",54,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pneumothorax"",""edema""]",55,56,,,,false,55595,66615,,,2026-04-22 14:35:24.504759+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.92,""atelectasis"":0.56,""cardiomegaly"":0.7,""pneumothorax"":0.57,""consolidation"":0.48,""pleural_effusion"":0.93}"
bb6651bc-84ed-4f84-af8d-391013f0c514,27931682-1071-4a19-a46c-50b4a188d17f,baseline-04,baseline,A,baseline,[],25,,,,,,,,39498,,,,2026-04-24 10:21:26.310685+00,,[],{}
bcafa98c-a86d-47ac-8cc9-2d15e2e30fe3,c441fd3a-2158-44e7-a31d-68ab29632857,baseline-03,baseline,A,baseline,"[""atelectasis""]",84,,,,,,,,69725,,,,2026-04-23 15:39:59.892584+00,,"[""pleural_effusion""]",{}
be235438-3d81-477b-ada5-d1c37a84fa70,27931682-1071-4a19-a46c-50b4a188d17f,fx-09,main,C,ai_wrong,[],52,"[""pneumothorax""]",60,56,neutral,partially,original,true,54949,37200,,,2026-04-24 10:33:22.017353+00,,[],"{""edema"":0.23,""atelectasis"":0.59,""cardiomegaly"":0.2,""pneumothorax"":0.52,""consolidation"":0.43,""pleural_effusion"":0.13}"
bf201dcf-5058-4e63-9663-eb92c0e20d7e,c441fd3a-2158-44e7-a31d-68ab29632857,fx-14,main,D,hard,"[""cardiomegaly"",""consolidation"",""edema"",""pleural_effusion""]",80,"[""cardiomegaly"",""consolidation"",""edema"",""pleural_effusion""]",90,81,neutral,partially,original,false,50705,46873,,,2026-04-23 16:21:19.626423+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.83,""atelectasis"":0.48,""cardiomegaly"":0.91,""pneumothorax"":0.02,""consolidation"":0.57,""pleural_effusion"":0.95}"
c3b51499-c181-45b6-b35a-53d265a9608d,c441fd3a-2158-44e7-a31d-68ab29632857,fx-11,main,C,incidental,"[""edema"",""pleural_effusion""]",80,"[""edema"",""pleural_effusion""]",71,73,helped,unsure,gradcam,true,128633,238195,,,2026-04-23 16:12:50.844919+00,pneumothorax,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.54,""atelectasis"":0.52,""cardiomegaly"":0.44,""pneumothorax"":0.94,""consolidation"":0.48,""pleural_effusion"":0.35}"
